PlateMap,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
L,ORM-0364078,ORM-0364078,ORM-0364074,ORM-0364074,ORM-0049279,ORM-0049279,ORM-0120988,ORM-0120988,ORM-0140940,ORM-0140940,ORM-0140942,ORM-0140942,ORM-0149820,ORM-0149820,ORM-0178130,ORM-0178130,ORM-0226420,ORM-0226420,DMSO,DMSO,DMSO,DMSO,Sertraline,Sertraline
M,ORM-0364078,ORM-0364078,ORM-0364074,ORM-0364074,ORM-0049279,ORM-0049279,ORM-0120988,ORM-0120988,ORM-0140940,ORM-0140940,ORM-0140942,ORM-0140942,ORM-0149820,ORM-0149820,ORM-0178130,ORM-0178130,ORM-0226420,ORM-0226420,DMSO,DMSO,DMSO,DMSO,Sertraline,Sertraline
N,ORM-0364078,ORM-0364078,ORM-0364074,ORM-0364074,ORM-0049279,ORM-0049279,ORM-0120988,ORM-0120988,ORM-0140940,ORM-0140940,ORM-0140942,ORM-0140942,ORM-0149820,ORM-0149820,ORM-0178130,ORM-0178130,ORM-0226420,ORM-0226420,DMSO,DMSO,DMSO,DMSO,Sertraline,Sertraline
O,ORM-0364078,ORM-0364078,ORM-0364074,ORM-0364074,ORM-0049279,ORM-0049279,ORM-0120988,ORM-0120988,ORM-0140940,ORM-0140940,ORM-0140942,ORM-0140942,ORM-0149820,ORM-0149820,ORM-0178130,ORM-0178130,ORM-0226420,ORM-0226420,DMSO,DMSO,DMSO,DMSO,Sertraline,Sertraline
P,ORM-0364078,ORM-0364078,ORM-0364074,ORM-0364074,ORM-0049279,ORM-0049279,ORM-0120988,ORM-0120988,ORM-0140940,ORM-0140940,ORM-0140942,ORM-0140942,ORM-0149820,ORM-0149820,ORM-0178130,ORM-0178130,ORM-0226420,ORM-0226420,DMSO,DMSO,DMSO,DMSO,Sertraline,Sertraline
,,,,,,,,,,,,,,,,,,,,,,,,
Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,0,0,,,0.5,0.5
B,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,75.0,75.0,0.0,0.0,,,0.5,0.5
C,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,56.3,56.3,0.0,0.0,,,0.5,0.5
D,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,42.2,42.2,0.0,0.0,,,0.5,0.5
E,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,31.7,31.7,0.0,0.0,,,0.5,0.5
F,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,23.8,23.8,0.0,0.0,,,0.5,0.5
G,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,17.8,17.8,0.0,0.0,,,20,20
H,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,13.4,13.4,0.0,0.0,,,20,20
I,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,10.0,10.0,0.0,0.0,,,20,20
J,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,,,20,20
K,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,2.5,0.0,0.0,,,50,50
L,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.3,1.3,0.0,0.0,,,50,50
M,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.6,0.6,0.0,0.0,,,50,50
N,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.3,0.0,0.0,,,50,50
O,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.0,0.0,,,50,50
P,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.0,0.0,,,50,50
